,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,SO,W,L,G,SV,H,ER,HR,BB,ERA,WHIP,ERA+,FIP
106,wettejo01,12,2000,0,3,1,3,618,804,48,45,618,330,616,249,73,252,2.929411764705882,1.134640522875817,146.24796066236786,3.196345098039216
107,astacpe01,15,2006,0,0,0,0,395,1664,129,124,392,0,2292,1140,291,726,4.6707132018209405,1.3738998482549316,94.54227707768467,5.125247951441579
108,wittbo01,16,2001,0,0,1,0,438,1955,142,157,430,0,2493,1324,252,1375,4.834077079107505,1.5691683569979715,87.7497393953819,5.004636646382691
109,holmeda01,13,2003,0,0,0,0,557,581,35,33,557,59,709,321,63,256,4.248529411764705,1.4191176470588236,102.19345655926406,3.9948490196078437
110,brownma01,10,1946,0,0,0,1,387,435,76,57,387,48,1125,414,44,388,3.4649721016738995,1.40700557966522,112.85639183844192,3.828332610043398
111,hayneji01,10,2004,0,0,0,0,230,762,63,89,227,1,1358,717,148,601,5.374514158800666,1.6315935591338147,83.59327544128726,4.995700444197668
112,krameja01,12,1951,0,0,0,3,322,613,95,103,322,7,1761,772,92,682,4.243485342019544,1.4920602605863191,90.90724202787054,3.9187318811074925
113,heskejo01,11,1994,0,0,0,0,340,726,60,47,339,21,947,404,85,378,3.7809358752166378,1.3778162911611784,104.63242935817202,4.026541074523398
114,smithal03,12,1945,0,1,0,1,359,587,99,101,356,17,1707,688,94,587,3.7248847002205734,1.3799879687186685,106.8190666061147,3.9057587728093046
115,gubicma01,14,1997,0,0,0,2,384,1371,132,136,384,2,2239,978,155,786,3.958920539730135,1.3605697151424287,102.90645216727606,3.677930284857571
116,lacorfr01,10,1984,0,0,0,0,255,372,23,44,253,26,457,273,49,258,5.014285714285714,1.4591836734693877,75.75500521728686,4.3165727891156465
117,johnssi01,17,1947,0,0,0,0,492,840,101,165,492,15,2510,1036,120,687,4.08708357685564,1.401373465809468,98.45656660970941,3.9927906195207488
118,raschvi01,10,1955,0,6,6,4,269,944,132,66,269,3,1666,752,139,727,3.7207256734469487,1.3155579989004949,106.72167871624514,3.838127725856698
119,krausle02,12,1974,0,0,0,0,334,721,68,91,321,21,1205,571,137,493,4.003375746559335,1.3227733056349,89.07972808821717,4.015251363282264
120,borbope01,12,1980,0,0,2,0,594,409,69,39,593,80,1098,401,63,251,3.51525974025974,1.313961038961039,105.34285545009877,3.6552873376623376
121,nagych01,14,2003,0,0,0,3,320,1242,129,105,318,0,2188,980,217,586,4.512278308321965,1.419167803547067,96.22010793997165,4.188385402455661
122,vandejo01,13,1951,0,6,1,4,384,1294,119,121,346,2,1799,805,100,1132,3.442350332594235,1.3926195755464048,113.6569702241075,3.6402408932530887
123,humeto01,11,1987,0,1,0,1,545,536,57,71,543,92,1106,465,88,384,3.8535911602209945,1.3720073664825045,101.26591771903234,4.133298342541436
124,hackewa02,12,1961,0,0,0,0,316,557,62,89,306,17,1297,601,181,320,4.214805194805195,1.26,94.52576516900172,4.43686051948052
125,ruckena01,10,1916,0,7,0,0,336,1217,134,134,336,14,2089,639,41,701,2.4211338759472354,1.1745719898961549,117.83227902307974,2.59788254280101
126,rapppa01,10,2001,0,0,0,0,260,825,70,91,259,0,1468,721,133,683,4.677318596828448,1.5504565112926478,94.68343958806305,5.067017059106199
127,harshja01,10,1960,0,0,0,0,261,741,69,65,217,7,1025,455,96,539,3.501995438996579,1.3375142531356898,113.65638853234566,4.273311573546182
128,daviscu01,13,1946,0,2,0,2,451,684,158,131,429,33,2459,884,142,479,3.4219354838709677,1.2636559139784946,115.09643278419902,4.256300358422938
129,tylerle01,12,1921,0,0,1,0,387,1003,127,116,323,7,1990,730,51,829,2.9461883408071747,1.2641255605381165,104.48876170160239,3.1093318385650224
130,dobsopa01,11,1977,0,0,1,1,414,1301,122,129,414,19,2043,833,197,665,3.535764816852696,1.2771576796101243,101.05022943076239,3.7454738248703032
131,pfeffje01,13,1924,0,0,0,0,352,836,158,112,347,10,2320,742,67,592,2.774023816117419,1.209637219606757,118.70363154259235,3.472684297978399
132,tiantlu01,19,1982,0,1,0,3,573,2416,229,172,573,15,3075,1280,346,1104,3.304331198011282,1.1986805621952386,109.95150168519946,3.469110622430442
133,dipinfr01,12,1993,0,0,0,0,515,515,35,38,514,56,673,298,53,269,3.8314285714285714,1.3457142857142856,101.52037016866143,3.8029095238095234
134,marquru01,18,1925,1,1,0,0,536,1593,201,177,536,19,3233,1130,107,858,3.0756048387096775,1.2371975806451614,104.96794907750592,3.036242842741936
135,harpeha01,10,1923,0,0,0,0,220,623,57,76,219,5,1100,400,26,582,2.8662420382165603,1.339171974522293,112.24597055508846,3.187220541401274
136,parmero01,10,1939,0,0,0,0,213,514,59,55,206,3,1075,532,68,531,4.273728057125855,1.4335019339482298,100.49726069417416,4.501724486759893
137,slatoji01,16,1986,0,0,0,1,496,1191,151,158,496,14,2773,1202,277,1004,4.031052043224444,1.4074028071047076,93.0613369100153,4.387800273257981
138,carlsha01,14,1930,0,1,0,0,383,590,114,120,377,19,2256,883,93,498,3.9695304695304694,1.3756243756243756,96.92193039877226,4.09130636030636
139,dennyjo01,13,1986,0,3,0,0,326,1146,123,108,325,0,2093,856,137,778,3.585479367049333,1.3361774744027304,106.18988647527935,3.818624107973938
140,donovdi01,15,1965,0,2,0,4,373,880,122,99,345,5,1988,822,198,495,3.6672174487772637,1.2308327825512226,105.24580639654792,3.7031649041639128
141,mastewa02,14,1956,0,0,0,2,402,815,78,100,399,20,1613,760,101,886,4.146292180238432,1.5148514851485149,93.58876061983196,4.436616286118408
142,carmado01,10,1992,0,0,0,0,342,598,53,54,342,11,849,421,115,378,4.111030741410488,1.3312839059674502,94.39022701973238,4.4171811934900544
143,palmeji01,19,1984,1,15,3,6,577,2212,268,152,558,4,3349,1253,303,1311,2.856382978723404,1.1803444782168186,128.0801474524709,3.5035546268152653
144,odellbi01,13,1967,0,0,0,2,530,1133,105,100,479,48,1697,665,137,556,3.29389102916896,1.239955971381398,113.43956240903488,3.4105488901119063
145,hogsech01,11,1944,0,0,1,0,339,441,63,87,330,33,1511,682,85,501,5.02291325695581,1.646481178396072,81.5650615788359,5.2574446262956895
146,pooleji02,11,2000,0,0,0,0,431,256,22,12,431,4,376,174,41,156,4.31404958677686,1.465564738292011,100.47585124941683,6.029199265381083
147,carseki01,10,1901,0,0,0,0,331,486,116,138,296,3,2794,1229,80,800,4.9526865671641795,1.6092537313432835,81.34714517430301,4.938208208955223
148,konstji01,11,1956,0,5,0,1,433,268,66,48,433,74,957,364,88,269,3.4642227705322526,1.2964399013041945,112.73927766495488,4.311346845259077
149,mccormi03,16,1971,0,3,0,4,488,1321,134,128,484,12,2281,986,255,795,3.728049292816132,1.2922559865565046,97.82786405841206,3.9472001120291282
150,blackbu02,15,1995,0,0,1,0,400,1039,121,116,398,11,1978,876,217,623,3.8396103896103897,1.2667207792207793,103.12109347207317,4.539492532467532
151,passecl01,13,1947,0,0,0,5,447,1104,162,150,444,21,2856,1003,105,728,3.31915675940679,1.3178085549699718,117.75593740057094,3.5729770805245744
152,boddimi01,14,1993,0,3,1,1,351,1330,134,116,342,3,2082,897,188,721,3.8014440433212995,1.3198869879139852,102.22922926018329,4.134037356772878
153,deleojo01,13,1995,0,0,0,0,416,1594,86,119,415,6,1556,793,153,841,3.761595221363317,1.2633520730850316,105.98173148260193,4.137849437807449
154,abbotpa01,11,2004,0,0,0,0,162,496,43,37,162,0,682,394,101,393,4.9204440333024975,1.4916743755781683,88.4184399779783,5.6224953746530995
155,worthal01,14,1969,0,0,0,0,602,834,75,82,602,110,1130,469,105,527,3.3858288770053475,1.329144385026738,109.18608614742632,3.7798417112299467
