,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,G,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS+,wOBA
119,mantife01,11,1966,0,0,1,1,1052,969,360,707,89,330,27,256,0.2611747321758404,0.3267261314833168,0.2611747321758404,107.89253164444065,0.330305740987984
120,wilkecu01,11,1993,0,0,0,0,1113,972,272,600,8,179,81,138,0.24469820554649266,0.2829121086382497,0.24469820554649266,66.45329879582422,0.2705224052087323
121,johnser01,10,1925,0,0,1,0,854,813,372,697,19,256,114,181,0.26613211149293625,0.30634648370497425,0.26613211149293625,92.27008681656076,0.3283349911190053
122,cedenro01,11,2005,0,0,0,0,1192,1100,478,865,40,274,213,319,0.27252678008821674,0.33651953893730674,0.27252678008821674,88.22186773912813,0.3195031339031339
123,oglivbe01,16,1986,0,2,0,3,1835,1754,784,1615,235,901,87,560,0.2731270082868256,0.3349499848438921,0.2731270082868256,122.863294653152,0.35773269468479607
124,smallro02,13,1987,0,1,1,1,1762,1653,745,1454,163,694,27,771,0.2570266925932473,0.3395511070670306,0.2570266925932473,107.41447638019706,0.41688695921848357
125,perezed01,13,2006,0,0,0,0,855,754,238,445,79,294,19,194,0.24722222222222223,0.3251593918587543,0.24722222222222223,99.37732976402525,0.3682237037037037
126,slaugen01,19,1959,1,12,4,10,2450,2380,1247,2383,169,1304,71,1018,0.29989932041278633,0.37846763540290623,0.29989932041278633,134.3108313792759,0.4156934444444444
127,ottme01,22,1947,1,11,1,12,2736,2730,1859,2876,511,1860,89,1708,0.30414551607445006,0.4099850048513716,0.30414551607445006,161.55084809272049,0.4302370858567867
128,thomaro01,13,1911,0,0,0,0,1467,1470,1011,1537,7,299,244,1042,0.2902190332326284,0.40304182509505704,0.2902190332326284,131.37261132330016,0.3988308628491185
129,simmote01,21,1988,0,4,0,8,2546,2456,1074,2472,248,1389,21,855,0.2847926267281106,0.3475477542591637,0.2847926267281106,123.68219549213259,0.36080645161290326
130,hernaca01,10,2000,0,0,0,0,516,488,102,315,24,141,5,63,0.2532154340836013,0.29693343305908754,0.2532154340836013,75.24962215881268,0.3545518796992481
131,owenmi01,13,1954,0,1,0,4,1242,1209,338,929,14,378,36,326,0.25459029871197586,0.3113948919449902,0.25459029871197586,79.59140219100745,0.3048554609218437
132,mitchke01,13,1998,0,5,1,2,1268,1223,630,1173,234,760,30,491,0.28374455732946297,0.36009369676320274,0.28374455732946297,140.52051636160235,0.4551189494247883
133,jacobbr01,11,1992,0,0,0,2,1368,1311,535,1220,120,545,16,439,0.26991150442477874,0.33320071613288244,0.26991150442477874,108.88742285917176,0.35774053295932673
134,mondari01,19,1984,0,0,1,2,2041,1986,950,1619,241,775,98,924,0.26385267275097785,0.3584194359117565,0.26385267275097785,130.70232375023062,0.3717166500214011
135,kellech01,13,1952,0,3,3,5,1182,1170,725,1085,189,760,45,784,0.2862796833773087,0.408123370981755,0.2862796833773087,162.81382666894268,0.4283143542757417
136,vollmcl01,10,1954,0,0,0,0,705,685,283,508,69,339,7,243,0.2513607125185552,0.3334792122538293,0.2513607125185552,109.27755300986254,0.446210989010989
137,kubiate01,10,1976,0,0,2,0,1053,977,238,565,13,202,13,271,0.23089497343686147,0.3018325547969817,0.23089497343686147,74.92594099390368,0.37572834937083643
138,mcdougi01,10,1960,0,3,5,6,1458,1336,697,1291,112,576,45,559,0.2760906757912746,0.3495829471733086,0.2760906757912746,112.63875170276742,0.3498122873345935
139,stanlfr01,14,1982,0,0,2,0,871,816,197,356,10,120,11,196,0.21575757575757576,0.2932843651626443,0.21575757575757576,61.413526396158645,0.2857962264150943
140,bergebi01,11,1911,0,0,0,0,948,947,138,516,2,193,23,88,0.17040951122853368,0.18711276332094176,0.17040951122853368,22.77381903051099,0.19246405648267007
141,grichbo01,17,1986,0,8,0,6,2105,2008,1033,1833,224,864,104,1087,0.2660377358490566,0.3656934306569343,0.2660377358490566,125.34377846025149,0.3654412749596924
142,delahji01,13,1915,0,0,0,0,1185,1186,520,1159,19,489,151,378,0.2833048154485456,0.34748293515358364,0.2833048154485456,125.11576577418646,0.4344306073229555
143,grubbjo01,16,1987,0,0,1,1,1543,1424,553,1153,99,475,27,566,0.277563793933558,0.3638814016172507,0.277563793933558,120.8142460234587,0.3983065263157895
144,mcmilro01,16,1966,0,3,0,2,2113,2093,739,1639,68,594,41,665,0.24274289099526067,0.3085064680517444,0.24274289099526067,79.62657466513986,0.3085068309670506
145,auerbri01,11,1981,0,0,0,0,673,624,167,309,9,86,36,127,0.21961620469083157,0.2820676451818762,0.21961620469083157,64.12799901508679,0.2699811074918566
146,barrema02,10,1991,0,1,0,0,957,941,418,938,18,314,57,304,0.27767910005920665,0.3282024523871641,0.27767910005920665,91.69661068428974,0.31253517722878627
147,downibr01,20,1992,0,0,0,1,2435,2344,1188,2099,275,1073,50,1197,0.2672863873678849,0.367923514878075,0.2672863873678849,125.24766982900321,0.36376049597563626
148,pinielo01,18,1984,0,1,2,1,1863,1747,651,1705,102,766,32,368,0.29060848815408213,0.3307136120716756,0.29060848815408213,113.15273233976919,0.3393463570856685
149,granted01,10,1915,0,0,0,0,984,990,399,844,5,277,153,233,0.24933530280649926,0.2895156998403406,0.24933530280649926,83.84042607800511,0.30193441719481945
150,terrybi01,14,1936,1,12,1,3,1711,1721,1120,2193,154,1078,56,537,0.34116365899191037,0.38517789340458447,0.34116365899191037,141.03727452055543,0.4067358761112704
151,otisam01,17,1984,0,4,0,5,2030,1998,1092,2020,193,1007,341,757,0.2767502397588711,0.3407712830463255,0.2767502397588711,120.29772095919489,0.34959773928000987
152,hendest01,12,1988,0,0,0,0,1134,1085,459,976,68,428,79,386,0.2801377726750861,0.351123595505618,0.2801377726750861,115.07078271890938,0.3486524657887942
153,joshuvo01,10,1980,0,0,0,0,878,822,277,610,30,184,55,108,0.2730528200537153,0.30357894736842106,0.2730528200537153,95.69441162673955,0.3890303418803418
154,whitfte01,10,1986,0,0,0,0,780,730,233,537,33,179,18,138,0.2807109252483011,0.32526115859449195,0.2807109252483011,103.65484690353001,0.3300535540408958
155,hattogr01,12,1960,0,0,0,1,1375,1312,562,1068,91,533,42,646,0.25392296718972895,0.3515879478827362,0.25392296718972895,103.83194804244935,0.42304313886606404
156,beniqju01,17,1988,0,1,0,0,1632,1500,610,1274,79,476,104,349,0.2739195871855515,0.3211650485436893,0.2739195871855515,99.20356877188681,0.3376625098970705
157,belleal01,12,2000,0,11,0,5,1543,1539,974,1726,381,1239,88,683,0.29489150862805397,0.36924921324741494,0.29489150862805397,149.39433589635627,0.4062709030100335
158,brockgr01,10,1991,0,0,0,0,1042,1013,420,794,110,462,41,434,0.24797001873828858,0.33640054127198915,0.24797001873828858,107.51875441611362,0.33888139341996126
159,benedbr01,12,1989,0,0,0,2,990,982,214,696,18,260,12,328,0.24183460736622656,0.31529340224992397,0.24183460736622656,75.27273762813924,0.29409504391468005
160,harribu01,12,1931,0,0,1,0,1266,1263,722,1297,9,506,167,472,0.2738597972972973,0.3362131029517639,0.2738597972972973,89.71399144045024,0.336815338232523
161,fonsele01,12,1933,0,1,0,0,959,937,518,1075,31,485,64,186,0.31580493537015275,0.3447905477980666,0.31580493537015275,110.57570769388967,0.4222770550788818
162,raderda01,10,1980,0,0,0,0,901,846,254,619,30,235,8,245,0.2573804573804574,0.3238341968911917,0.2573804573804574,93.86140188727285,0.32044635357006496
